,comment,rating
29,"Was expecting too much apparently. I assumed refreshed meant at the least a new battery but nope, this has the original battery that is down to only 80% of the original charge. So off to get a new battery!  Condition is okay scratches on the screen and sides. But it works so there’s that.",3.0
30,My iphone xr lasted only 5 monthes.then it is useless.try everything to fix with no results.it is trashNever buy from this seller synergy.,1.0
31,"I don’t like iPhones due to being an Android user , but I’m starting to like this iPhone. Do I recommend you get it? Yes, And for the they have newer model iPhones like the 12s-14s…. Ma’am or Sir be glad I switched sides hell I still prefer Androids, But I Highly Recommend This iPhone XR 💕",5.0
32,Good,5.0
33,I wouldn’t buy this XR Phone.  Stopped working after a month.  It must be refurbished.  Not worth the money.  Horrible and a piece of junk!,1.0
34,"The phone they sent was in good condition with 85% battery life. Only issue was they sent red instead of the black I ordered. Other then that, don’t regret buying at all.",4.0
35,"I live in Africa , just in Angola I bought one that come without charger and the phone does not charge . I Lost my money",1.0
36,"I’m always nervous about ordering used items but when this phone arrived I quickly opened it to see how beautiful and flawless it was. There was no dings, scratches, or any type of marks on the phone. It looks like I received it brand new never used. Had easy set up, camera is great, all the features work just as they should. Definitely worth the price!",5.0
37,Seemed fine at first but after 3 hours the screen became completely unresponsive. Going to return it tomorrow.,1.0
38,I was skeptical bout getting my phone on Amazon but my phone came in perfect condition no scratches and a beautiful phone,5.0
39,Without a doubt all the Xr I purchased in excellent condition didn’t have any issues,5.0
40,"The phone itself is great, but my battery was bad within 90 days. I just took it and got a new batter put in and all is well now. Battery life took a sharp dive shortly after the warranty period was over with of course.",4.0
41,"I wasn’t sure about purchasing a refurbished phone. I have nothing else to complain because this device. I have no problem with nor have. I have any problems with after activating it. It’s a wonderful phone. Honestly I haven’t had any problems with it. Good battery life. A wonderful product. to buy a refurbished phone, trust me. I was also wants feeling that way. This company and this product trust me has not let me down. I am completely satisfied with my purchase.",5.0
42,Bought a couple phones from this same seller. They have all been in great condition. I did have an issue with one phone not working and they were very quick to reply and send me a new phone. New phone works great. Very happy with my purchases.,5.0
43,Las condiciones de la batería falta reemplazarla Tiene ligeramente una quebradura en la pantalla Y no está liberado,1.0
44,Great quality and it came earlier than expected very trustworthy,5.0
45,Cellular functions don't work. I realized months in since I use my REVVL 2 for data and thought it was much more complicated to have the data on the iPhone without a hotspot,1.0
46,Na,5.0
47,"It's only been a couple of weeks, but the iPhone XR Yellow is in perfect condition- no scratches at all. It looks brand new. The battery life was at 86, which I expected. Everything else works fine. I was hesitant to purchase it, but glad I did.",5.0
48,Phone came on time and works just fine,4.0
49,Good,5.0
50,Got the item. Looks like new. Its fully functional,5.0
51,"Product is beyond amazing, I’ve had it for a little over a year now with no complaints! I was very skeptical of buying from Amazon but I must say I’m very impressed by the quality and all. Would definitely purchase again.",5.0
52,"I’ve had this phone for three days now, and it’s in perfect condition. It was packaged pretty well and the battery life is 86%, which is really good. I went from an iPhone 8 Plus to this. I recommend this for anyone who needs and upgrade and don’t want to break their bank account!🖤",5.0
53,I payed for the excellent condition iPhone but it was in Ruth shape instead the back was scratched and and chipped from the side i was better off get the good condition. Not worth 250,3.0
54,The phone itself looked great! I was really excited about it until I figured out it wouldn’t turn on. I have the exact same phone in red and none of the buttons worked and I even placed on a charger and it still wouldn’t turn on after charging for an hour. I am very disappointed to have been delivered a phone that doesn’t even turn on and work.,1.0
55,"This is the second one I’ve bought, not for me this time but both of them were like brand new and unlocked carrier so I will be back when someone else needs another one !! Great deal",5.0
56,I was looking forward to a good quality device and upon testing it out one part of the speaker wasn’t working. Everything aesthetically seemed ok but the speaker being busted seemed a surprise because it was a premium renewed device. I’m glad I can return it.,1.0
57,"We bought IPhone XR for our kid for Christmas.  It worked for 3 months then the screen stopped responding to touch, rendering it useless.  We were a few days outside the return window so we contacted the seller to see if they’d help us in anyway.  They did nothing for us, so now we’re stuck with a piece of crap phone that did not work for more than a couple months.",1.0
58,I ordered the xr and it looks pretty good I didn't wipe the phone off but it came in excellent condition,5.0
59,"When on sale, it's personally worth it! However, you will need to manually update it. The IOS is obviously out of date but a good phone once updated!",5.0
60,Bought this for my daughter as gift and love it,5.0
61,I was very nervous ordering a phone from amazon thats been refurbished. But its actually amazing! It works so well aside from the batter life at 86%. If i had to recommend this phone to anyone else i would.,5.0
62,Too early to yel,5.0
63,"I am glad that the phone is functional and it does not have any major issues.  I got a black phone with264gb. Since it is a used iPhone,  I don't want to complain about product quality in depth.  My mom will definitely love it! Overall, it is a nice Phone with a reasonable price.",4.0
64,The phone make me look like a fool by taking it to the store Bec it couldn’t connect,1.0
65,Iza(it’s a) phone,5.0
66,"The card that came with the phone says that I bought an ""affordable and high-quality product that had been profesionally inspected and tested to work and look like new"".Upon unprofessional inspection I discovered that the phone's maximum battery capacity upon arrival is 79% and I get a friendly advice in the settings to pay for repairs.",1.0
67,Very good,4.0
68,"Less than 2 weeks after I purchased this phone for my daughter, the phone malfunctioned and is displaying a message about an unauthorized battery. The phone does not charge and will not turn on. I wish I had not purchased this phone and I will no longer purchase an iPhone off of Amazon. Now I have to spend more money taking it to the Apple store and getting a real battery. Thanks for nothing.",1.0
69,"I highly recommend buying a product from this seller! They were easy to communicate with, helpful and kind! I bought this iPhone XR and it was great, but I didn’t realize I bought a locked phone, when I needed an unlocked phone. I live in Spain. So it was time consuming to ship it back and realize my mistake but the seller was understanding and I was able to get refunded. I will buy a product from this seller in the future! Highly recommend. The product was great as well!! I just needed an unlocked phone. Thanks 😊",5.0
70,Thank Youuu!!,5.0
71,"Bought it for my Wife and she’s always complaining about the battery life. I’m amusing the battery wasn’t replaced. I have the same model that I’ve been using for years and never had a problem. The phone is great otherwise, but I might be splitting it open to swap a battery in the future.",4.0
72,product did not hold charge or come with pen noted in picture,2.0
73,The media could not be loaded.                 So far so good it's working just fine ...,5.0
74,"En buen estado, llegó antes.",5.0
75,The SIM card reader will not stay connected. We took it to a phone repair store two times and they said the plug will not stay connected,1.0
76,Granddaughter loves it.,5.0
77,Buen teléfono,5.0
78,"Fast, easy, reliable, and everything worked like it was supposed to!",5.0
79,The media could not be loaded.                 Looks amazing. Had battery when it came in. Only took 2 days to ship?!. I am so excited,5.0
80,"I am not a person to complain about things but I had to say something. A screen protector was placed on top the cracked screen. Under the Amazon Renewed description, this should have been priced differently and should say acceptable condition. Just bought this for someone traveling to other countries and opened up the package only to find the screen had a decent size crack and scrape. I have no time to do and exchange so I had to dish out another $120 to have the screen replaced. The phone is fully functional but should have been priced differently due to the crack. Battery capacity is 85% so this will need to be replaced in a year or so.",3.0
81,I enjoy the phone,5.0
82,Works good battery is ok screen randomly freezes but not often,4.0
83,Great phone. Who needs an intercom when I can call my kids on the phone from the next room? Laziness at its finest. Worth the investment 👌,4.0
84,"Wonderful phone, runs smoothly and efficient. It gets the job done and has great screen and camera quality. I might saw one of apples best pieces of work. Would definitely recommend. The phone is not too small or too big. Just right",5.0
85,Great choice for regular smartphone users who don’t necessarily need large storage and faster brain. Pretty color that you’d refuse to cover. Battery life came at 84% which is acceptable for the price.,5.0
86,Works great. Good price,5.0
87,battery life is not very efficient.,3.0
88,Good apple I phone,5.0
89,My daughter needed a new one....this is good price. Recommend it!,5.0
90,"I bought the phoje in may of 2021. It is amazing, evergthing worked great, reau recomend",5.0
91,"Bought this expecting it to be working well. Condition seemed fine but after about 100 days of use the screen went bad. Took it to apple and they said the back was replaced previously (that's not what ""Renewed"" means to me, as that would be a ""Repaired"" status since OEM parts were changed, so the listing is deceptive) and they couldn't do anything about it. Taking it to a 3rd party to fix will cost $150+Do NOT buy from this seller and do not buy RENEWED especially because it means the phone was broken before and was fixed (probably poorly)",1.0
92,I purchased this iphone 11 and an iphone x refurbished from Amazon. It looked good but unfortunately only lasted a month before both phones started glitching and hanging up on people while talking on the phone. You have to PAY to return these phones which is absolutely annoying! I would never purchase another refurbished item ever again. I don't not recommend,1.0
93,The volume is to low,3.0
94,"It’s alright for a used phone, but I received it very dirty… has foods stick on the phone, and the battery drained super fast",3.0
95,The media could not be loaded.,5.0
96,Decent condition only con a lot of scratches on screen .,5.0
97,"Upon arrival I was hesitant wondering if it was going to be heavily scratched due to transit. But nope I was wrong the phone came like it was brand new off Apples offical website. I got mine through Verizons Pre-Owned seller, and I feel like it was the best deal that way. Phone came perfect no scratches anywhere, again looked brand spanking new. Highly Recommend! Even nifty i got a $30 charger and lightning cable included from verizon as a nice bonus that I was not expecting.",5.0
98,"Phone is in great condition, like new. Everything works on it perfectly, had no problems getting it connected. 10 of 10 recommend.",5.0
99,"I don't like bulky/big phones, this one is not. It's perfect. Comes with warranty (and extended warranty if you opt to purchase). Great value for price. Comes with charger and a screen protector already on it, as well as an extra one in the box. Set up is easy. If you already have an apple device, wonderful option of transferring information and apps just by having devices side by side.",5.0
100,Well I got this phone and it’s works fine but the only problem I have with it is that I put my SIM card in it and I had the same phone number and I pay my phone bill every month but it still says no service and it has SOS at the top of it I don’t know what to do and I can’t call anyone.,2.0
101,The media could not be loaded.                 The phone is in pretty good condition minus a few scratches. Unfortunately my microphone isnt working if I can't get it to work myself i'll have to return it.,3.0
102,Came with an added on glass screen protector for free which I appreciate. No scratches or dings on front or back of device.,5.0
103,"Shipped quickly and phone in very good condition, very pleased with the purchase and process.",5.0
104,Got this for my 9 year old daughter and it was easy to set up. Pop the Sim card in and go. It came with a screen protector which is great. She loves it.,4.0
105,Love the phone it’s brand new the only thing is it doesn’t come in a Apple box,5.0
106,"Did not expect the phone to look so used with damaged screen and chipped off body paint choosing ""excellent"" refurbished option. Took me 10 seconds to look at, pack it, request a return and buy another one hoping it will be look acceptable :fingerscrossed.",1.0
107,"I ordered 2 phones, neither of them are unlocked (as advertised) and I have not been able to use them.",1.0
108,"I was skeptical when ordering a refurbished phone, but the price fit into my budget and I placed the order. The phone is much better than I expected. No scratched on the screen or the back of the phone. Everything works fine. Battery life is at 82%. I use to have the iPhone 7 so upgrading to this was a big step up on iPhone. Really happy with the purchase. I was able to connect to my phone carrier METRO PCS with no problem ( I was able to do it myself). The phone takes great pictures. Highly recommend!",5.0
109,i like it,5.0
110,Good,5.0
111,Good quality. It works perfectly fine,5.0
112,The phone was basically perfect no issues literally at all was like new this is definitely a steal,5.0
113,I bought this for my little brother for Christmas. The phone works great! We received days earlier than what it said. I can’t complain for that price. Battery life was 95%!!!,5.0
114,I received a cracked android not a iPhone XR ‼️,1.0
115,good productI likeit,4.0
116,"The phone is good deal, everything working great",5.0
117,"Was a little afraid to  buy renewed  but glad I did , perfect phone so far. Looks new and easily transferred data from old iPhone 6s .thank you",5.0
118,Phone arrived sooner than expected. It was in excellent condition. No damage or scratches on the screen or the phone. 100% battery life. All phone features work. Definitely a great buy!,5.0
119,It works fine just cracks in the back of the phone,4.0
120,I got the blue iPhone came in great it looks beautiful no cracks I was able to pop my sons SIM card from metro and call it a day he says it’s been working great,5.0
121,Le encanta,5.0
122,"I was skeptical considering you never the condition it will be in when you receive it. Upon opening, the phone looks 98% brand new and if I didn’t know any better I would think it just came from the Apple store. The battery life capacity is at 95% which I was more than happy with. I will say the phone is quite large, but that’s because I just upgraded from the 2020 SE. So far I have no complaints and am very surprised by the quality. Five stars from me.",5.0
123,"Worked just as expected, came nicely packed with a charger.",5.0
124,problemas con la batería,1.0
125,"Everything works great . New screen , only bad thing is a couple scratches on the back of the phone . But beside that phone was great . And plus you can’t complain to much on a refurbish phone . 4 stars overall . Beside that con , everything was pros for sure .",4.0
126,Phone came just as expected,4.0
127,"Bought this for my daughter. She worked all year having good grades. You get what you pay for.I got the IPHONE XR 256gb (red) Everything is fine. Charger only works with AN ORIGINAL APPLE CHARGER. Not the black basic one that you get. AND the phone I have, the face recognition doesn’t work. But for a 6th grader it’s an iPhone that’s all they worry about. Trying to get another phone. And I’ll be giving her my phone.Now I’ve bought my XR (blue) from them before. Had it for 2 years. And still works like a champ. I guess it’s luck honestly.",4.0
128,"Great phone, Amazon Renewed Premium worked like a charm for me...",5.0
129,nan,5.0
130,"Bought this for my husband valentine gift,he love it and so do I,love the look the style and model. Works very well, thinking of getting myself one.🥰",5.0
131,Like New! Speedy delivery. Good product 👍🏼,5.0
132,I've had this phone from this seller for a year and a half and it has been working top notch. Dropped a couple times but I have a good case for it so no worries there.I'm looking forward to purchase another in the near future. Thanks for a quality product!,5.0
133,I got it for my boyfriend as a Christmas gift which he loves! I notice for him it’s a bit laggy and dies pretty fast unless he’s on an app that takes up too much battery but I’m not sure overall it has amazing camera quality and a great gift.,4.0
134,Minor scratches overall is in good condition good phone and still using .,4.0
135,Very upset that the phone is locked. It can only work for at&t carrier. Sending back asap.,1.0
136,The media could not be loaded.                 This product is great the condition was like new and it has become my everyday phone,5.0
137,"To start, the 128 GB was 30$ cheaper than the 63 GB (which doesn't make any sense), they had all colors only took a few days to get to me, amazing condition, the battery was fully charged, the sim card tool sucked but nobody cares about that. I don't see a single scratch or any buffed marks. This is my second time buying a phone from amazon, the first wasn't bad, just a few scratches where the charger is, the one seems brand new I'm very satisfied.",5.0
138,Back of phone came all cracked can see the inside software and was 3 days late to when said supposed to be delivered. Don't recommend.,1.0
139,the battery life came at 86% and hence the life of the battery isn't good at all it runs down so fast,3.0
140,"packages was pretty good, but not how i would have preferred. there were more scratches than i expected",3.0
141,"Fue un regalo para mi sobrina, ella está feliz, le funciona perfectamente,  tanto así que  voy a comprar otro para otra sobrina",5.0
142,Wife loved it! Affordable and still a very strong phone for the times.,5.0
143,"This was my first time ever buying an Apple product and I decided to by this, best decision ever. I’ve had the phone for 2 years now and not one issue with it. Definitely worth buying.",5.0
144,"el telefono funciona correctamente no esta dañado, ni rayado, y sobre todo el costo es mucho menor que uno nuevo",5.0
145,Perfect for the price. No issues at all. My girls love their phone. I LOVE the price.,5.0
146,detalles esteticos menores,5.0
147,Screen has a larger size and picture is crystal clear and camera takes clear pictures,4.0
148,"Phone was carefully packaged. The XR I received has no blemishes at all and was in excellent condition. If I didn’t know it was refurbished, I would have considered this phone was brand new. I opted to get the phone with 128Gigs because my last iPhone had the same. So the transition was seamless. I’m waiting on a SIM card now and will come back and let you know how that goes! My carrier is consumer cellular and it’s on a GSM network. When shopping for these phones, make sure it’s from Amazon and always choose “renewed premium” to have a 12 month warranty.",5.0
149,The media could not be loaded.                 This phone works perfectly and I would recommend it to others. The only downside is there is a crack on the back but it's not to noticable unless u really look at it. Feels like a brand new phone and would totally recommend buying this item.,4.0
150,Does what it should,5.0
151,Came early and In perfect condition!,5.0
152,it came on 95% the battery last a very long time before it starts getting low overall a great phone no complaints!! but you should buy or have your own charger already because the one they sent with the brick does make the phone heat up a little bit but overall its a super good phone & it is unlocked so yeah hope this review helps!!,5.0
153,"I would like to return this item because I was supposed to get a unlock phone but instead I got a phone that was already in service which means it was locked, also I would like a refund.",1.0
154,It states that this phone was unlock but it wasn't it was lock to a network when I went to purchase a line from verizon,1.0
155,"Ear speaker for calls barely works, even at max volume it is nearly impossible to hear callers.",1.0
156,"It’s Apple what can I say, all their products are super good and quality is like no other. Phone functions perfectly",5.0
157,Battery life is not good. And sound. When talking on the phone can’t hear. Need to use speaker. Phone looks ok but the things u need the most are not even 80%.,3.0
158,This phone work’s excellent ! Great seller . Strongly recommended,5.0
159,I freaked out thought the phone wasn’t unlocked. Went to my provider and it was good to go and be activated! Make sure you check with your provider to swap devices.,5.0
160,"Espero sirva mi opinión. Compre el celular y lo traje a a Ecuador y funcionó sin problema con la operadora claro de mi país, el teléfono en bastante bien estado, cámara, bocinas, sin rayones, vino con un sello protegido, la única observación fue que me vino un cable genérico con entrada usb y un adaptador genérico con entrada tipo c, quizás por error al momento de empaquetar, batería con una condición del 86% , condiciones bastante aceptables para el precio colocado, esperemos me vaya bien",4.0
161,"I’ve had this phone for almost 2 months and I can not express how amazing this is. I was worried to buy it and I looked at reviews and was still questioning it but guys I’m telling you this is the best phone I’ve ever had. It came with a charger/box, and a screen protector.",5.0
162,"Battery,screen quality face recognition excellent! Highly recommend seller! 5 star !",5.0
163,"So I bought this phone for my husband, and wow. I believe I bought acceptable condition, and i was expecting a few minor scratches, but no literally ZERO MARKS! And the description also says the phone would prolly have around a 80% battery health, but mine is at 98%! Now ive had the same Iphone 6 for the past 6 or so years, so I'm not super knowledgable with tech and iphones, but for the crazy amount of storage, the literally perfect condition, and the 98% battery life, and fast shipping, I'd say its pretty worth it! Maybe its time for me to upgrade my old phone....",5.0
164,"Phone arrived promptly.  Poorly packaged - plastic tray too small to hold phone.  Paid more for ""excellent"" refurbished, however phone arrived with cracked screen - as bad as the phone I am trying to replace.  Disappointing.  Do better.",1.0
165,"I had previously ordered an iPhone SE, and hated it from the minute I opened the box.. A year later I ordered this XR.. It's AMAZING!!! It's refurbished, but looks and operates like it's brand new.. It's gonna take a little time to get used to it, but so far, I LOVE IT!!!",5.0
166,Great product 💯,5.0
167,Got phone in a random brown box with a cracked screen.,1.0
168,"Everything is good about my phone theres nothing wrong its perfect battery works,speakers,touch screen and it got delivered pretty quick.",5.0
169,"Phone came fast, in two days. It’s in like new condition, has a full battery charge, and set up very quickly. I’m impressed! Very happy with my purchase!",5.0
170,Phone Camera is broken 🤬,1.0
171,Works well,5.0
172,Only complaint about my refurbished Iphone X was the phone volume for calls is very low to hear the other person so I had to resort to speaker or wireless earbuds. It might be due to the dirt & dust from previous user. I'll try cleaning the speaker to see if that fixes problem.,4.0
173,"Product was beautiful and in great physical & operating condition. Spent a lot of time setting it up but once I took it to the Verizon store to be connected to my account they told me it was already registered under another Verizon account and could there for never be used by another Verizon account.  I requested a replacement through the same retailer who suggested they could have it delivered within a week. The estimated delivery was ultimately extended by another week until it was canceled all together by the retailer without notifying me. Bummer bc last time I bought the exact same phone from the exact same retailer (this time around I'd literally just gone into my old orders and clicked to ""buy again""), and it went off without a hitch.",1.0
174,The phone looks brand new and works perfectly. Shipping was extremely fast!,5.0
175,"I made this purchase 3 months ago. What I loved about this seller is he/she had my phone to me in 2days which was great because it was an Christmas gift for my daughter. The phone came just as described. The phone came unlocked, we activated through metro pcs with no problems. The cell phone had no scratches nor dings. The Face recognition and camera is awesome. It came with an fast charging cable and adapter box. So far so good no issues.",5.0
176,The only issue I don’t like is the battery don’t wanna stay charged n one of my phone don’t have the option to show the battery percentage and the other one does seeing that I bought 2 at the same time from the same person,4.0
177,Phone is defective. Doesn’t work.,1.0
178,I ordered this phone when my other one was tripping and I still use this phone not all renewed things are bad,5.0
179,Perfect like a new one,5.0
180,It works really well but it does get softlocked every now and then. Nothing a force hard reset can’t fix. Signs of obvious previous wear and tear as soon as I opened it out of the box. Over a year later and it only worsened. Back glass cracked a bit after a 2ft drop but the phone is still useable obviously as I am using it to type this review as i speak. Very good battery initially (thank goodness). I still think very fondly of this phones battery life and fast charging compatibility.,5.0
181,"love this phone , works great !",5.0
182,"Es triste que invierta en un producto de esta marca y no sirva, llego con fallas en el micrófono y la batería al pedir el respaldo en Amazon me remiten con el vendedor y el vendedor me remite con Amazon y hasta aquí no me dieron ningúna solución. El celular lo envíe a colombia para un obsequio y fue un desastre. Ahora no sé si alcancé a llagar nuevamente hasta aquí para poder devolverlo.Muy triste de ese percance",1.0
183,"I’ve never thought of buying refurbished until I bought an Apple Watch and my watch required a newer IPhone by so little. I researched and found XR was a perfect match for my needs and my grandson loved his. Color didn’t matter. The coral IPhone XR arrived by FedEx within 3 days of payment with a screensaver, in perfect condition.  The setup was as easier as always. Syncing with my iPad and watch proved to be easy and all is well.My only problem ? was that the phone is so polished & clean that it slips out of my hands constantly.  Get a case BEFORE you get the phone!  😉",5.0
184,"The amount of memory 256 gig,it was for my daughter she had a 64 gig, she loves it !!!",5.0
185,Ordered the phone and it's completely scratched on the screen and all of its components battery 73%  I cannot even  recommend anyone to buy it,1.0
186,iPhone 10 great buy great price and Amazon replacement or return Super,5.0
187,I had to send it back because it didn’t work,1.0
188,Fast shipping and phone looks new. Only had a couple days is the reason why I didn’t give it 5 stars,4.0
189,"Still using it after nearly 2 years, few problems",5.0
190,I was worried it wasn’t going to come or that it would be fake but I’m typing on it right now.,4.0
191,Esperaba mejor calidad por el precio que pague. En otros sitios se encuentra 10% más bataro y de mejor calidad.,3.0
192,i love the phone thank you,5.0
193,"My wife really likes this phone, no noticeable scratches or defects on the phone at all",5.0
194,"The media could not be loaded.                 Simply the best, brand new!!!! The package is amazing, very well cared! And the phone is literally perfect as it buy at the Apple Store! Great, excellent product!!!!",5.0
195,"I paid $223 and I received a flawless phone with not 1 blemish or scratch. The battery capacity was 94% which I was highly impressed considering this is an older phone. Install instructions, a charger, adapter and screen saver already applied came with the phone. You don’t need to call your carrier for installation help, just pop in your SIM card and log into your iCloud. Make sure to buy a case to keep your phone protected. I got mine off of SHEIN for only $1.90.",5.0
196,"I got this phone for a good price and I was happy with it because the battery was 95% when I got it in January. But now a month later, the battery degraded to 88%. I have only used apple approved chargers so I have no idea how this happened. I paid extra for the battery to be over 90% but it lost 10% in 4 weeks... I seen other people say this exact same thing happened but I assumed maybe it was by using cheap chargers.",3.0
197,Worked ok until got a little wet. Then screen died and face I'd dies.,2.0
198,The battery was at 86% capacity,4.0
199,Super bueno,5.0
200,The device works very well but came with some scratches. I am happy with the purchase.,4.0
201,My camera isn’t clear at all it last blurry,1.0
202,After six months or 8 the iPhone doesn’t want to read the Sim card? I took them to the Apple store and they told me the phone did it was paid off,1.0
203,They work like new,5.0
204,"As advertised, got in 2 days",5.0
205,"I bought the iPhone XR Unlocked Renewed.  It came in perfect condition, no scratches or dents.  Synergy was the seller.  Only issue I had was it took a minute for the Metro PCS clerk to be able to transfer my info over.  I spoke with Synergy rep and they said it’s because I was coming from an Android Revvl 6.  Anyway, the issue was solved!  I highly recommend Synergy and would by from them again.",5.0
206,Perfect!  Looks great!!  Works perfectly!  Love love this phone.  Price was good! 👍🏻👍🏻👍🏻,5.0
207,"I like that it was simple. It is a good working phone. It has good qualities. It has good battery life, and it has good screen quality. It looks brand new. I'm having a good time using it and hope to have it for a long time.",5.0
208,"El producto llegó en perfecto estado (el cristal templado de regalo no es el mejor pero se agradece) un único rasguño al lado del speaker derecho en el chasis, después impoluto en los demás apartados, única cosa que hubiera gustado que tenga mejor es la batería que me llegó al 82% pero es un detalle que no tiene demasiada importancia la verdad",5.0
209,"Had a few  minor scratches, one of which  was quite deep .But it works well and screen looks great. Battery is 80%",4.0
210,"love it so far, not a single problem with it.",5.0
211,Product works perfectly. I have no complaints.,5.0
212,Came in great,5.0
213,This was purchased at SUCH a good price. Very easy to set up with provider. Pleasantly surprised at how new it seems!,5.0
214,"It's been 7 or 8 months since I got this iPhone, it works perfectly, the battery is good.  Looks like brand new.  I was waiting to see how it worked before making my review.So don’t hesitate to buy y’all!!",5.0
215,Era para regalo y quede en vergüenza con algo tan rayado y en tan mal uso,1.0
216,Good quality.  Packaging was good.,5.0
217,"I needed a secondary iPhone for my job to separate personal and professional but paying $1,000 for a new phone was not going to happen.  This phone was in excellent condition, looks new.  The battery is in very good condition too.  Highly recommend.",5.0
218,Just like the title said. I am glad that Apple still supports this model.,4.0
219,"Got mine about 4 days after shipping but that is fine with me, when it came in, it was not in an Iphone box or anything, simply in the 3rd party sellers box with the basic iphone charger to come along with it. The phone itself was what I bought, looked exactly like the Iphone XR. Do note : Battery is not 100%, I don't think any of them are or will be, so do not expect the battery to be perfect. Mine was 85% on day of arrival but as writing this review a day later, it has gone to 84%. I hope it does last a very long time, only time will tell. But do buy, it is an Iphone XR and mine is basically new besides the battery life and a tiny scratch mark on the black paint.",4.0
220,Phone works great sounds and pictures,4.0
221,I could not hear out of the phone. I am still waiting for a full refund.,1.0
222,"Phone looks practically brand new. Cameras are fine. I'm just concerned about the battery it got really hot when I used my fast charger and I don't have any other regular chargers besides the one it came with and that one looks so generic and it probably would charge it at Turtle Speed. I'm just a little worried since the battery isn't an official Apple Battery Part I may have to get this battery replaced so I can see my Battery Health since having a good battery is important for phones but over all this is a refurbished good phone. I just pray the battery isn't super cheap and won't swell,overheat, or explode on me.",4.0
223,I like the color red and got a transparent case for it.,4.0
224,"Bought this for a Valentine’s Day gift and it was perfect! Came in a decent amount of time and functions like it’s brand new! I was very pleased considering the price I paid, it was great!",5.0
225,"I used it for paying bills, Facebook. Twitter, messenger, banking.",2.0
226,NO PROBLEMS AT ALL WITH THIS UNIT…BATTERY LIFE IS NORMAL LIKE NEW.,5.0
227,The media could not be loaded.                 Was using the phone from the day it came but I was having some issues with the phone turning on and the touch so I went to a technician and they said the board inside the phone needs to be changed it's rotten (rusty) and this all started when I started using the phone .,1.0
